#Layer	start_x	start_y	end_x	end_y
159	0.003070016	0.0153044	0.003897976	0.01657934
160	0.004017191	0.01657931	0.003192499	0.0153094
161	0.001766579	0.01311367	0.0006989756	0.01146971
162	0.0007828426	0.01141525	0.001795056	0.01297392
163	0.003311712	0.01530936	0.004136459	0.01657936
164	0.004255674	0.01657933	0.003430927	0.01530933
165	0.001823588	0.01283424	0.0008667097	0.01136078
166	0.0009505763	0.01130632	0.001852065	0.01269449
167	0.003550195	0.01530938	0.004374941	0.01657938
168	0.004494156	0.01657934	0.003669409	0.01530934
169	0.001880542	0.01255473	0.001034444	0.01125185
170	0.00111831	0.01119739	0.00190902	0.01241497
171	0.003788678	0.01530939	0.004613425	0.01657939
172	0.00473264	0.01657936	0.003907893	0.01530936
173	0.001942399	0.01228277	0.001202178	0.01114293
174	0.001286045	0.01108846	0.001979155	0.01215576
175	0.004027105	0.01530933	0.004851853	0.01657932
176	0.004971122	0.01657937	0.004146375	0.01530938
177	0.00201591	0.01202875	0.001369911	0.011034
178	0.001453778	0.01097953	0.002052666	0.01190174
179	0.004265589	0.01530934	0.005090336	0.01657934
180	0.005209604	0.01657939	0.004384857	0.01530939
181	0.002089422	0.01177473	0.001537645	0.01092507
182	0.001621512	0.01087061	0.002126178	0.01164772
183	0.004504071	0.01530936	0.005328818	0.01657936
184	0.005448032	0.01657932	0.004623285	0.01530932
185	0.002162989	0.0115208	0.001705379	0.01081614
186	0.001789246	0.01076168	0.002199744	0.01139379
187	0.004742554	0.01530937	0.005567301	0.01657937
188	0.005686515	0.01657934	0.004861769	0.01530934
189	0.002236499	0.01126678	0.001873113	0.01070721
190	0.00195698	0.01065275	0.002276469	0.01114472
191	0.004981037	0.01530939	0.005805783	0.01657939
192	0.005924997	0.01657935	0.005100251	0.01530935
193	0.002320414	0.01102878	0.002040847	0.01059829
194	0.002124714	0.01054382	0.002364358	0.01091284
195	0.005219465	0.01530932	0.006044212	0.01657932
196	0.00616348	0.01657937	0.005338734	0.01530937
197	0.002408304	0.0107969	0.002208582	0.01048936
198	0.002292449	0.0104349	0.002452249	0.01068096
199	0.005457948	0.01530933	0.006282695	0.01657933
200	0.006401963	0.01657938	0.005577216	0.01530939
201	0.002496194	0.01056503	0.002376316	0.01038043
202	0.002460182	0.01032597	0.002540139	0.01044909
203	0.005696431	0.01530935	0.006521178	0.01657935
204	0.006640391	0.01657932	0.0058157	0.0153094
205	0.002584083	0.01033315	0.002544049	0.0102715
206	0.002627917	0.01021704	0.002628084	0.01021729
207	0.005934913	0.01530937	0.006759661	0.01657937
208	0.006878875	0.01657933	0.006054128	0.01530933
209	0.006173396	0.01530938	0.006998143	0.01657938
210	0.007117357	0.01657934	0.006292611	0.01530935
211	0.006411878	0.0153094	0.007236572	0.01657931
212	0.00735584	0.01657936	0.006531094	0.01530936
213	0.006650308	0.01530933	0.007475054	0.01657933
214	0.007594322	0.01657938	0.006769576	0.01530938
215	0.00688879	0.01530934	0.007713536	0.01657934
216	0.007835801	0.01658401	0.007008058	0.01530939
217	0.007127272	0.01530936	0.007964765	0.01659898
218	0.008102169	0.01662696	0.007246487	0.01530933
219	0.007365755	0.01530938	0.008252754	0.01667523
220	0.008419788	0.01674883	0.007484969	0.01530934
221	0.007604239	0.01530939	0.008618628	0.01687142
222	0.009220563	0.01779831	0.009248449	0.01784126
223	0.009332314	0.01778679	0.00903211	0.01732451
224	0.008967571	0.01722513	0.007723443	0.01530936
225	0.007840106	0.01530538	0.009416182	0.01773233
226	0.00950005	0.01767787	0.007950335	0.01529151
227	0.008056477	0.01527135	0.009583917	0.0176234
228	0.009667784	0.01756894	0.008158372	0.01524464
229	0.008256453	0.01521207	0.00975165	0.01751447
230	0.009835518	0.01746001	0.008350824	0.01517379
231	0.008441235	0.01512939	0.009919384	0.01740555
232	0.01000325	0.01735108	0.008527608	0.01507878
233	0.008610689	0.01502304	0.01008712	0.01729662
234	0.01017099	0.01724215	0.00869033	0.01496214
235	0.008766624	0.01489602	0.01025485	0.01718769
236	0.01033872	0.01713323	0.008838725	0.01482344
237	0.008906638	0.0147444	0.01042259	0.01707876
238	0.01050645	0.0170243	0.008970623	0.01465933
239	0.009030202	0.01456746	0.01059032	0.01696983
240	0.01067419	0.01691537	0.009084933	0.01446813
241	0.009134049	0.01436016	0.01075806	0.01686091
242	0.01084192	0.01680644	0.009176579	0.01424204
243	0.009213389	0.01411511	0.01092579	0.01675198
244	0.01100966	0.01669751	0.0092502	0.01398819
245	0.009287008	0.01386126	0.01109353	0.01664305
246	0.01117739	0.01658859	0.00932382	0.01373434
247	0.009360628	0.01360741	0.01126126	0.01653412
248	0.01134512	0.01647966	0.009402395	0.01348812
249	0.009446341	0.01337218	0.01142899	0.0164252
250	0.01151286	0.01637073	0.009490338	0.01325633
251	0.009534284	0.01314039	0.01159673	0.01631627
252	0.01168059	0.0162618	0.009578283	0.01302453
253	0.009627461	0.01291664	0.01176446	0.01620734
254	0.01184833	0.01615288	0.009677832	0.0128106
255	0.009728204	0.01270456	0.0119322	0.01609841
256	0.01201606	0.01604395	0.009778521	0.01259843
257	0.009828893	0.01249239	0.01209993	0.01598948
258	0.0121838	0.01593502	0.009883131	0.0123923
259	0.009939277	0.01229515	0.01226766	0.01588056
260	0.01235153	0.01582609	0.009995367	0.01219792
261	0.01005151	0.01210076	0.0124354	0.01577163
262	0.01251926	0.01571716	0.01010766	0.01200361
263	0.01016533	0.01190881	0.01260313	0.0156627
264	0.012687	0.01560824	0.01022675	0.01181979
265	0.01028824	0.01173086	0.01277086	0.01555377
266	0.01285473	0.01549931	0.01034966	0.01164184
267	0.01041109	0.01155283	0.0129386	0.01544484
268	0.01302247	0.01539038	0.01047258	0.01146389
269	0.01053753	0.01138033	0.01309544	0.01531914
270	0.01312506	0.01518114	0.01060393	0.01129894
271	0.01067037	0.01121764	0.01315572	0.01504474
272	0.01319449	0.01492084	0.01073681	0.01113634
273	0.01080319	0.01105495	0.01323326	0.01479693
274	0.01327808	0.01468233	0.0108694	0.01097332
275	0.01094059	0.01089931	0.01332442	0.01457009
276	0.01337316	0.01446153	0.01101171	0.01082522
277	0.01108282	0.01075114	0.01342587	0.01435909
278	0.01347864	0.01425674	0.01115395	0.01067705
279	0.01122508	0.01060295	0.01353597	0.01416144
280	0.01359473	0.01406831	0.0112962	0.01052887
281	0.01136732	0.01045478	0.0136535	0.01397518
282	0.01371792	0.01389078	0.01143425	0.01037423
283	0.01149715	0.01028748	0.01378218	0.01380612
284	0.01384737	0.01372289	0.01155553	0.01019376
285	0.01160895	0.01009242	0.01391697	0.01364645
286	0.01398662	0.0135701	0.01165649	0.009982014
287	0.01169721	0.009861134	0.01405762	0.01349585
288	0.01413212	0.01342696	0.01172951	0.009727241
289	0.01175107	0.009576834	0.01420663	0.01335806
290	0.01428248	0.01329128	0.01175891	0.009405293
291	0.01173755	0.009188797	0.01436188	0.01322994
292	0.01444135	0.01316867	0.01164707	0.00886588
293	0.0108587	0.007468285	0.01452212	0.01310954
294	0.01460634	0.01305545	0.009903229	0.005813386
